"ID"	"Name"	"RA"	"DEC"	"Obj. Type"	"Redshift"	"Host Name"	"Host Redshift"	"Discovering Group/s"	"Classifying Group/s"	"Associated Group/s"	"Disc. Internal Name"	"Disc. Instrument/s"	"Class. Instrument/s"	"TNS AT"	"Public"	"End Prop. Period"	"Discovery Mag"	"Discovery Mag Filter"	"Discovery Date (UT)"	"Sender"	"Ext. catalog/s"
"17352"	"SN 2017lm"	"03:01:32.408"	"-15:00:57.19"	"SN Ia"	"0.03052"	""	""	"ATLAS, GaiaAlerts"	""	"ATLAS; GaiaAlerts"	"ATLAS17aix"	"ATLAS1 - ACAM1, Gaia - Gaia-photometric"	"SALT - RSS"	"1"	"1"	""	"18.07"	"orange-ATLAS"	"2017-01-14 06:28:48"	"ATLAS_Bot1"	""
"17345"	"SN 2017lf"	"03:12:33.600"	"+39:19:15.30"	"SN Ia"	"0.0146"	"NGC 1233"	"0.015"	"TNTS, iPTF, GaiaAlerts"	"Padova-Asiago"	"GaiaAlerts; iPTF; TNTS"	""	"P48 - CFH12k, BAO-0.6m - BATC, Gaia - Gaia-photometric"	"BAO-2.16m - Cassegrain, Ekar - AFOSC"	"1"	"1"	""	"17.3"	"Clear-"	"2017-01-22 14:09:36"	"Li"	""
"17344"	"SN 2017le"	"11:10:27.205"	"+28:41:42.33"	"SN Ia"	"0.03"	""	""	"ATLAS, iPTF"	"PESSTO"	"ATLAS; iPTF"	"ATLAS17agh"	"ATLAS1 - ACAM1, P48 - CFH12k"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.9"	"cyan-ATLAS"	"2017-01-04 13:26:24"	"ATLAS_Bot1"	""
"17342"	"SN 2017lc"	"09:44:25.700"	"-18:32:54.02"	"SN Ia"	"0.05"	""	""	"GaiaAlerts"	"NUTS"	"GaiaAlerts"	"Gaia17aea"	"Gaia - Gaia-photometric"	"NOT - ALFOSC"	"1"	"1"	""	"18.33"	"G-Gaia"	"2017-01-11 21:08:38"	"Gaia_Bot1"	""
"17341"	"SN 2017lb"	"10:12:49.860"	"-18:06:45.83"	"SN Ia"	"0.053"	""	""	"GaiaAlerts, Pan-STARRS1"	"PESSTO"	"GaiaAlerts; Pan-STARRS1"	"Gaia17adz"	"Gaia - Gaia-photometric, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.4"	"G-Gaia"	"2017-01-12 09:01:26"	"Gaia_Bot1"	""
"17340"	"SN 2017la"	"10:48:26.560"	"-13:13:59.38"	"SN II"	"0.027"	""	""	"GaiaAlerts"	"PESSTO"	"GaiaAlerts"	"Gaia17adx"	"Gaia - Gaia-photometric"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.34"	"G-Gaia"	"2017-01-11 19:04:48"	"Gaia_Bot1"	""
"17339"	"SN 2017kz"	"13:07:25.410"	"-01:19:23.41"	"SN Ia"	"0.087"	""	""	"GaiaAlerts, Pan-STARRS1"	"PESSTO"	"GaiaAlerts; Pan-STARRS1"	"Gaia17adw"	"Gaia - Gaia-photometric, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.71"	"G-Gaia"	"2017-01-12 06:25:55"	"Gaia_Bot1"	""
"17312"	"SN 2017jy"	"04:32:44.430"	"-05:53:30.48"	"SN Ia"	"0.043"	""	""	"GaiaAlerts"	"PESSTO"	"GaiaAlerts"	"Gaia17adb"	"Gaia - Gaia-photometric"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"17.59"	"G-Gaia"	"2017-01-16 04:30:43"	"Gaia_Bot1"	""
"17305"	"SN 2017jr"	"08:33:49.820"	"-25:02:24.58"	"SN Ia"	"0.06"	""	""	"GaiaAlerts"	"PESSTO"	"GaiaAlerts"	"Gaia17acv"	"Gaia - Gaia-photometric"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.81"	"G-Gaia"	"2017-01-14 07:42:14"	"Gaia_Bot1"	""
"17302"	"SN 2017jo"	"09:57:36.150"	"-22:10:23.92"	"SN IIb"	"0.023"	""	""	"GaiaAlerts, Pan-STARRS1"	"PESSTO"	"GaiaAlerts; Pan-STARRS1"	"Gaia17acs"	"Gaia - Gaia-photometric, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.92"	"G-Gaia"	"2017-01-13 15:07:12"	"Gaia_Bot1"	""
"17299"	"SN 2017jl"	"00:57:31.897"	"+30:11:06.83"	"SN Ia"	"0.02"	""	""	"ATLAS"	"NUTS"	"ATLAS"	"ATLAS17air"	"ATLAS1 - ACAM1"	"NOT - ALFOSC"	"1"	"1"	""	"17.71"	"orange-ATLAS"	"2017-01-16 05:16:48"	"ATLAS_Bot1"	""
"17298"	"SN 2017jk"	"16:45:14.740"	"+70:48:26.60"	"SN Ia"	"0.057"	""	""	"LOSS"	"LOSS"	"LOSS"	"kait-17D"	"Other - Other"	""	"1"	"1"	""	"18.4"	"Clear-"	"2017-01-15 14:07:18"	"Zheng"	""
"17291"	"SN 2017jd"	"23:34:36.470"	"-04:32:04.32"	"SN Ia"	"0.007"	""	""	"Pan-STARRS1"	"LCOGT SN-KP"	"Pan-STARRS1"	"PS17hj"	"PS1 - GPC1"	"FTN - FLOYDS-N"	"1"	"1"	""	"14.65"	"z-Sloan"	"2017-01-09 05:08:09"	"PS1_Bot1"	""
"17270"	"SN 2017ij"	"15:31:36.790"	"+25:14:32.93"	"SN Ia"	"0.033"	""	""	"GaiaAlerts"	"NUTS"	"GaiaAlerts"	"Gaia17abx"	"Gaia - Gaia-photometric"	"NOT - ALFOSC"	"1"	"1"	""	"17.91"	"G-Gaia"	"2017-01-09 01:23:31"	"Gaia_Bot1"	""
"17246"	"SN 2017hr"	"12:06:27.390"	"+28:08:19.70"	"SN Ia"	"0.0293"	""	""	"Pan-STARRS1"	"iPTF"	"Pan-STARRS1"	""	"Other - Other, PS1 - GPC1"	"P60 - SEDM"	"1"	"1"	""	"17.5"	"Clear-"	"2017-01-06 16:33:10"	"Itagaki"	""
"17245"	"SN 2017hq"	"13:49:23.995"	"+08:30:26.50"	"SN Ia"	"0.0379"	"CGCG 073-079"	"0.03798"	"ASAS-SN"	""	"ASAS-SN"	"ASASSN-17am"	"ASASSN-1 - Brutus"	"BAO-2.16m - Phot-spec"	"1"	"1"	""	"17.6"	"V-Johnson"	"2017-01-10 15:50:24"	"Stanek"	""
"17242"	"SN 2017hn"	"13:07:39.460"	"+06:20:14.60"	"SN Ia"	"0.0238"	"UGC 08204"	""	"POSS, Pan-STARRS1"	""	"Pan-STARRS1; POSS"	""	"Other - Other, PS1 - GPC1"	"BAO-2.16m - Phot-spec"	"1"	"1"	""	"16.1"	"Clear-"	"2017-01-09 09:55:45"	"Puckett"	""
"17241"	"SN 2017hm"	"11:33:10.577"	"-10:13:18.41"	"SN Ia"	"0.021"	"MCG -02-30-003"	"0.021275"	"ASAS-SN, Pan-STARRS1"	"PESSTO"	"ASAS-SN; Pan-STARRS1"	"ASASSN-17aj"	"ASASSN-2 - Cassius, ASASSN-1 - Brutus, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"16.9"	"V-Johnson"	"2017-01-09 14:52:48"	"Stanek"	""
"17240"	"SN 2017hl"	"12:07:18.833"	"+16:50:26.02"	"SN Ib"	"0.023"	"KUG 1204+171"	"0.023073"	"ASAS-SN"	"PESSTO"	"ASAS-SN"	"ASASSN-17ai"	"ASASSN-1 - Brutus"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"17.3"	"V-Johnson"	"2017-01-09 15:07:12"	"Stanek"	""
"17239"	"SN 2017hk"	"12:45:15.310"	"+26:05:07.10"	"SN IIP"	"0.059"	"KUG 1242+263"	"0.059"	"TNTS"	"TNTS"	"TNTS"	""	"BAO-0.6m - BATC"	"Lijiang-2.4m - YFOSC"	"1"	"1"	""	"17.9"	"Clear-"	"2017-01-08 21:07:12"	"Li"	""
"17082"	"SN 2017bj"	"08:20:07.463"	"+52:01:41.36"	"SN Ia"	"0.06494"	""	""	"iPTF, Pan-STARRS1"	"iPTF"	"iPTF; Pan-STARRS1"	"iPTF17bj"	"P48 - CFH12k, PS1 - GPC1"	"P60 - SEDM"	"1"	"1"	""	"19.141"	"R-PTF"	"2017-01-07 06:18:43"	"iPTF_Bot1"	""
