freq : 100.00 MHz
SWR : 1.965000
 Theta 	 Phi 	 Gain(dB)     	   Gain     	    Phase(deg)
180 	 90 	 -300.0     	   1e-30     	    -22.30769
180 	 105 	 -300.0     	   1e-30     	    -22.30734
180 	 120 	 -300.0     	   1e-30     	    -22.3064
180 	 135 	 -300.0     	   1e-30     	    149.2942
180 	 150 	 -300.0     	   1e-30     	    157.6901
180 	 165 	 -300.0     	   1e-30     	    157.691
180 	 180 	 -300.0     	   1e-30     	    157.6913
180 	 195 	 -300.0     	   1e-30     	    157.6915
180 	 210 	 -300.0     	   1e-30     	    157.6917
180 	 225 	 -300.0     	   1e-30     	    157.6918
180 	 240 	 -300.0     	   1e-30     	    157.6919
180 	 255 	 -300.0     	   1e-30     	    157.692
180 	 270 	 -300.0     	   1e-30     	    157.6922
180 	 285 	 -300.0     	   1e-30     	    157.6925
180 	 300 	 -300.0     	   1e-30     	    157.6932
180 	 315 	 -300.0     	   1e-30     	    -30.67554
180 	 330 	 -300.0     	   1e-30     	    -22.3096
180 	 345 	 -300.0     	   1e-30     	    -22.30883
180 	 360 	 -300.0     	   1e-30     	    -22.30855
freq : 120.00 MHz
SWR : 1.965000
0 	 0 	 -300.0     	   1e-30     	    114.0411
0 	 15 	 -300.0     	   1e-30     	    114.0439
0 	 30 	 -300.0     	   1e-30     	    114.046
0 	 45 	 -300.0     	   1e-30     	    114.0477
0 	 60 	 -300.0     	   1e-30     	    114.0495
0 	 75 	 -300.0     	   1e-30     	    114.0516
0 	 90 	 -300.0     	   1e-30     	    114.0544
0 	 105 	 -300.0     	   1e-30     	    114.0592
0 	 120 	 -300.0     	   1e-30     	    114.0725
0 	 135 	 -300.0     	   1e-30     	    -138.793
0 	 150 	 -300.0     	   1e-30     	    -65.977
0 	 165 	 -300.0     	   1e-30     	    -65.96373
0 	 180 	 -300.0     	   1e-30     	    -65.95888
0 	 195 	 -300.0     	   1e-30     	    -65.95608
0 	 210 	 -300.0     	   1e-30     	    -65.95403
