"Source Name","Association","RA","Dec","Classification (code)","TEV Cat","TEV Association"
"3FGL J0222.1-1616","PKS 0219-164","35.5317","-16.28","fsrq","N",""
"3FGL J0222.6+4301","3C 66A","35.6735","43.0329","BLL","P","3C 66A"
"3FGL J0222.9-1117","1RXS J022314.6-111741","35.7405","-11.2968","bll","N",""
"3FGL J0223.3+6820","NVSS J022304+682154","35.8262","68.3428","bcu","N",""
"3FGL J0223.5+6313","TXS 0219+628","35.8832","63.2256","bcu","N",""
"3FGL J0223.6+6204","","35.9061","62.0811","","N",""
"3FGL J0223.6+3927","","35.9179","39.4527","","N",""
"3FGL J0224.0+6235","","36.0161","62.5982","spp","N",""
"3FGL J0224.1-7941","PMN J0223-7940","36.0476","-79.6916","bcu","N",""
"3FGL J0224.1-1846","","36.0477","-18.7816","","N",""
"3FGL J0224.4+1615","","36.1143","16.2632","","N",""
"3FGL J0225.2-2602","PMN J0225-2603","36.3116","-26.038","bcu","N",""
"3FGL J0225.8+6159","","36.4722","61.987","","N",""
"3FGL J0226.3+0941","PMN J0226+0937","36.58","9.6843","fsrq","N",""
"3FGL J0226.5-4442","RBS 0318","36.6314","-44.7142","bcu","N",""
"3FGL J0226.7-4747","","36.6951","-47.7837","","N",""
"3FGL J0227.2+0201","RX J0227.2+0201","36.8062","2.0306","bll","N",""
"3FGL J0228.0+2248","NVSS J022744+224834","37.0078","22.8005","bcu","N",""
"3FGL J0228.3-5545","PKS 0226-559","37.0784","-55.7618","fsrq","N",""
"3FGL J0228.5+6703","GB6 J0229+6706","37.1321","67.0558","bcu","N",""
"3FGL J0228.5+8213","","37.1327","82.2222","","N",""
"3FGL J0228.7-3106","PMN J0228-3102","37.1981","-31.1068","bcu","N",""
"3FGL J0229.3-3643","PKS 0227-369","37.3445","-36.7312","fsrq","N",""
"3FGL J0230.6-5757","PKS 0229-581","37.6712","-57.9566","bll","N",""
"3FGL J0230.8+4032","B3 0227+403","37.702","40.5432","fsrq","N",""
"3FGL J0231.0+1302","","37.7747","13.0445","","N",""
"3FGL J0232.6+0646","","38.1631","6.7717","","N",""
"3FGL J0232.8+2016","1ES 0229+200","38.2187","20.271","bll","P","1ES 0229+200"
"3FGL J0232.9+2606","B2 0230+25","38.2316","26.1035","bcu","N",""
"3FGL J0233.0+6237","","38.2689","62.6227","","N",""
"3FGL J0234.2-0629","","38.5642","-6.4981","","N",""
"3FGL J0235.7+5647","","38.9276","56.7867","","N",""
"3FGL J0236.7-6136","PKS 0235-618","39.1955","-61.6004","fsrq","N",""
"3FGL J0237.5-3603","RBS 0334","39.3994","-36.0588","bll","N",""
"3FGL J0237.9+2848","4C +28.07","39.4801","28.8047","FSRQ","N",""
"3FGL J0238.0+5237","","39.5049","52.6256","","N",""
"3FGL J0238.3-3904","1RXS J023800.5-390505","39.5879","-39.073","bll","N",""
"3FGL J0238.4-3117","1RXS J023832.6-311658","39.6173","-31.2948","bll","N",""
"3FGL J0238.6+1636","AO 0235+164","39.6672","16.6152","BLL","N",""
"3FGL J0239.0+2555","","39.7679","25.92","","N",""
"3FGL J0239.4+1326","","39.8685","13.4428","","N",""
"3FGL J0240.0-0253","","40.0007","-2.8994","","N",""
"3FGL J0240.5+6113","LS I+61 303","40.1379","61.2281","HMB","P","LS I +61 303"
"3FGL J0241.3+6542","TXS 0237+655","40.3441","65.702","bcu","N",""
"3FGL J0242.1-0534","","40.5316","-5.5696","","N",""
"3FGL J0242.3+1059","OD 166","40.5845","10.9946","fsrq","N",""
"3FGL J0242.7-0001","NGC 1068","40.68","-0.0259","sbg","N",""
"3FGL J0243.5+7119","S5 0238+711","40.8794","71.3277","bll","N",""
"3FGL J0244.4-8224","PMN J0251-8226","41.1126","-82.4137","bcu","N",""
"3FGL J0244.4+4745","","41.1231","47.7531","","N",""
"3FGL J0244.8-5818","RBS 0351","41.2078","-58.3163","bll","N",""
"3FGL J0245.4+2410","B2 0242+23","41.3576","24.1832","fsrq","N",""
"3FGL J0245.9-4651","PKS 0244-470","41.4838","-46.8527","fsrq","N",""
"3FGL J0248.4+5130","","42.1101","51.514","","N",""
"3FGL J0248.5+4232","PSR J0248+42","42.1259","42.5362","psr","N",""
"3FGL J0248.5+6022","PSR J0248+6021","42.147","60.3725","PSR","N",""
"3FGL J0249.1+8438","NVSS J024948+843556","42.2783","84.6359","bcu","N",""
"3FGL J0250.6+1713","NVSS J025037+171209","42.6523","17.2306","fsrq","N",""
"3FGL J0250.6+5630","NVSS J025047+562935","42.6607","56.5146","bcu","N",""
"3FGL J0251.1+2603","PSR J0251+26","42.7756","26.0641","psr","N",""
"3FGL J0251.1-1829","","42.7971","-18.4857","","N",""
"3FGL J0251.5-5959","PKS 0250-602","42.8822","-59.9868","fsrq","N",""
"3FGL J0252.3+3830","B2 0249+38","43.084","38.508","fsrq","N",""
"3FGL J0252.8-2218","PKS 0250-225","43.2007","-22.3105","fsrq","N",""
"3FGL J0253.0-0125","FBQS J0253-0124","43.2573","-1.4198","bll","N",""
"3FGL J0253.1-5438","PKS 0252-549","43.2963","-54.6493","fsrq","N",""
"3FGL J0253.5+3216","MG3 J025334+3217","43.3845","32.2688","bcu","N",""
"3FGL J0253.8+5104","NVSS J025357+510256","43.4721","51.0681","fsrq","N",""
"3FGL J0254.2+5903","","43.5587","59.0525","","N",""
"3FGL J0255.8+0532","PMN J0255+0533","43.9551","5.5438","bcu","N",""
"3FGL J0256.3+0335","PKS B0253+033","44.0832","3.5957","bcu","N",""
"3FGL J0257.8-1216","PMN J0257-1211","44.4561","-12.2769","fsrq","N",""
"3FGL J0258.0+2030","MG3 J025805+2029","44.5181","20.5133","bll","N",""
"3FGL J0258.2+3555","","44.5577","35.9289","","N",""
