Freq. (Hz) 	 V/sqrt(Hz) 
4.41797e+08	0.000347091
4.46875e+08	0.000356815
4.51953e+08	0.000366667
4.57031e+08	0.000377358
4.62109e+08	0.00042912
4.67188e+08	0.000478378
4.72266e+08	0.000493025
4.77344e+08	0.000533754
4.82422e+08	0.000616085
4.875e+08	0.000724387
4.92578e+08	0.000803669
4.97656e+08	0.000913118
5.02734e+08	0.00106492
5.07812e+08	0.00124299
5.12891e+08	0.00136965
5.17969e+08	0.00139548
5.23047e+08	0.00142513
5.28125e+08	0.00143881
5.33203e+08	0.00143329
5.38281e+08	0.00147107
5.43359e+08	0.00159554
5.48438e+08	0.00186856
5.53516e+08	0.00228654
5.58594e+08	0.00289716
5.63672e+08	0.00371786
5.6875e+08	0.00465202
5.73828e+08	0.0056499
5.78906e+08	0.00700853
5.83984e+08	0.00892175
5.89062e+08	0.0111164
5.94141e+08	0.0125278
5.99219e+08	0.0154599
6.04297e+08	0.0204856
6.09375e+08	0.0268346
6.14453e+08	0.0345191
6.19531e+08	0.0427335
6.24609e+08	0.0506765
6.29688e+08	0.0597486
6.34766e+08	0.0686456
6.39844e+08	0.0759006
6.44922e+08	0.0806847
6.5e+08	0.0878297
6.55078e+08	0.0988648
6.60156e+08	0.110876
6.65234e+08	0.110413
6.70312e+08	0.106535
6.75391e+08	0.103496
6.80469e+08	0.105398
6.85547e+08	0.102262
6.90625e+08	0.101978
6.95703e+08	0.106923
7.00781e+08	0.110808
7.05859e+08	0.0988863
7.10938e+08	0.0868503
7.16016e+08	0.0881644
7.21094e+08	0.0866182
7.26172e+08	0.0777624
7.3125e+08	0.0687687
7.36328e+08	0.0710802
7.41406e+08	0.0752058
7.46484e+08	0.0728493
7.51562e+08	0.0654037
7.56641e+08	0.0590803
7.61719e+08	0.0589055
7.66797e+08	0.0587128
7.71875e+08	0.058991
7.76953e+08	0.065482
7.82031e+08	0.0701842
7.87109e+08	0.0681743
7.92188e+08	0.060308
7.97266e+08	0.0537323
8.02344e+08	0.0461039
8.07422e+08	0.0398684
8.125e+08	0.0359908
8.17578e+08	0.0361856
8.22656e+08	0.0384474
8.27734e+08	0.0409791
8.32812e+08	0.0420664
8.37891e+08	0.0415943
8.42969e+08	0.0396862
8.48047e+08	0.0346504
8.53125e+08	0.0310873
8.58203e+08	0.0295418
8.63281e+08	0.0298153
8.68359e+08	0.031417
8.73438e+08	0.0308358
8.78516e+08	0.0308649
8.83594e+08	0.0337696
8.88672e+08	0.0469073
8.9375e+08	0.0560964
8.98828e+08	0.0541976
9.03906e+08	0.0484297
9.08984e+08	0.0491503
9.14062e+08	0.051512
9.19141e+08	0.0532217
9.24219e+08	0.0525582
9.29297e+08	0.0550035
9.34375e+08	0.059397
9.39453e+08	0.0613613
9.44531e+08	0.0593222
9.49609e+08	0.0594951
9.54688e+08	0.0592802
9.59766e+08	0.058963
9.64844e+08	0.0557102
9.69922e+08	0.0552885
9.75e+08	0.0549022
9.80078e+08	0.0562391
9.85156e+08	0.0543107
9.90234e+08	0.0515675
9.95312e+08	0.0485077
1.00039e+09	0.0403293
1.00547e+09	0.0383506
1.01055e+09	0.0377636
1.01562e+09	0.0384313
1.0207e+09	0.0391737
1.02578e+09	0.0425032
1.03086e+09	0.0462413
1.03594e+09	0.0481517
1.04102e+09	0.0510651
1.04609e+09	0.0465285
1.05117e+09	0.0404181
1.05625e+09	0.0350919
1.06133e+09	0.0283986
1.06641e+09	0.0256508
1.07148e+09	0.023673
1.07656e+09	0.0219154
1.08164e+09	0.0197708
1.08672e+09	0.0171273
1.0918e+09	0.0141161
1.09688e+09	0.0111799
1.10195e+09	0.00863417
1.10703e+09	0.00671795
1.11211e+09	0.00531728
1.11719e+09	0.00428758
1.12227e+09	0.00343034
1.12734e+09	0.00272879
1.13242e+09	0.00216166
1.1375e+09	0.00168122
1.14258e+09	0.00128958
1.14766e+09	0.00101224
1.15273e+09	0.000814511
1.15781e+09	0.000664075
1.16289e+09	0.000566707
1.16797e+09	0.000471241
1.17305e+09	0.000393494
1.17812e+09	0.000328058
1.1832e+09	0.000201672
1.18828e+09	0.000173277
1.19336e+09	0.00015199
1.19844e+09	0.000138236
1.20352e+09	0.000114281
1.20859e+09	0.000108802
1.21367e+09	0.000103738
1.21875e+09	9.95891e-05
1.22383e+09	0
1.22891e+09	0
1.23398e+09	0
1.23906e+09	0
1.24414e+09	0
1.24922e+09	0
1.2543e+09	0
1.25938e+09	0
1.26445e+09	0
1.26953e+09	0
1.27461e+09	0
1.27969e+09	0
1.28477e+09	0
1.28984e+09	0
1.29492e+09	0
Freq. (Hz) 	 V/sqrt(Hz) 
0	0
5.07812e+06	0
1.01562e+07	0
1.52344e+07	0
2.03125e+07	0
2.53906e+07	0
3.04688e+07	0
3.55469e+07	0
4.0625e+07	0
4.57031e+07	0
5.07812e+07	0
5.58594e+07	0
6.09375e+07	0
6.60156e+07	0
7.10938e+07	0
7.61719e+07	0
8.125e+07	0
8.63281e+07	0
9.14062e+07	0
9.64844e+07	0
1.01562e+08	0
1.06641e+08	0
1.11719e+08	0
1.16797e+08	0
1.21875e+08	0
1.26953e+08	0
1.32031e+08	0
1.37109e+08	0
1.42188e+08	0
1.47266e+08	0
1.52344e+08	0
1.57422e+08	0
1.625e+08	0
1.67578e+08	0
1.72656e+08	0
1.77734e+08	0
1.82812e+08	6.60022e-96
1.87891e+08	6.60022e-96
1.92969e+08	6.60022e-96
1.98047e+08	6.60022e-96
2.03125e+08	6.39028e-96
2.08203e+08	6.18123e-96
2.13281e+08	6.39028e-96
2.18359e+08	6.39028e-96
2.23438e+08	6.24529e-96
2.28516e+08	6.55203e-96
2.33594e+08	6.55203e-96
2.38672e+08	6.55203e-96
2.4375e+08	6.65448e-96
2.48828e+08	6.65448e-96
2.53906e+08	6.65448e-96
2.58984e+08	6.65448e-96
2.64062e+08	6.68998e-96
2.69141e+08	6.63689e-96
2.74219e+08	6.36386e-96
2.79297e+08	6.31652e-96
2.84375e+08	5.73138e-96
2.89453e+08	4.99793e-96
2.94531e+08	4.80382e-96
2.99609e+08	5.09896e-96
3.04688e+08	5.34852e-96
3.09766e+08	5.06157e-96
3.14844e+08	4.88576e-96
3.19922e+08	4.91743e-96
3.25e+08	4.78178e-96
3.30078e+08	4.51534e-96
3.35156e+08	4.46969e-96
3.40234e+08	4.98441e-96
3.45312e+08	5.08447e-96
3.50391e+08	4.86785e-96
3.55469e+08	4.53128e-96
3.60547e+08	4.38015e-96
3.65625e+08	4.33992e-96
3.70703e+08	4.2174e-96
3.75781e+08	4.10565e-96
3.80859e+08	4.10755e-96
3.85938e+08	4.33116e-96
3.91016e+08	4.56683e-96
3.96094e+08	4.67807e-96
4.01172e+08	4.92157e-96
4.0625e+08	5.00125e-96
4.11328e+08	4.76031e-96
4.16406e+08	4.23688e-96
4.21484e+08	4.00272e-96
4.26562e+08	4.00975e-96
4.31641e+08	4.18182e-96
4.36719e+08	4.54067e-96
4.41797e+08	4.62756e-96
4.46875e+08	4.55716e-96
